Name,abs_error,actual,predicted,has_nitrogen,is_aromatic,n_rings,ring_group,is_variant,mw_group
129814774_b3lyp_prop_2,0.0412812847307058,1.37757223661634,1.4188535,True,False,1.0,1,True,200-250
11040862_b3lyp_0,0.4773764997830656,2.19062415660527,1.7132477,True,False,1.0,1,True,150-200
73698_b3lyp_prop_0,0.04091690651037594,0.369087441052414,0.41000435,False,True,3.0,3,True,>250
73507565_b3lyp_prop_1,0.05617849999010893,1.16129536456525,1.2174739,False,False,2.0,2,True,200-250
14289169_b3lyp_1,0.010712229270600337,1.39276985023532,1.4034821,True,False,1.0,1,True,150-200
130029656_b3lyp_prop_0,0.012083856743952959,1.42549165932574,1.4134078,True,False,1.0,1,True,150-200
212470_b3lyp,0.05761952877044685,1.42,1.4776195,True,True,2.0,2,False,150-200
2764161_b3lyp_prop_0,0.1188686492926363,0.547962128829312,0.6668308,True,True,3.0,3,True,>250
6773_b3lyp_prop_0,0.07314897614479854,0.665338863553993,0.73848784,False,True,3.0,3,True,>250
12506460_b3lyp_0,0.11452902544822563,1.26520241488304,1.1506734,True,True,3.0,3,True,>250
212470_b3lyp_prop_1,0.12756529461443367,1.40547761310041,1.5330429,True,True,2.0,2,True,150-200
130029656_b3lyp,0.03905386924743648,1.45,1.4109461,True,False,1.0,1,False,<150
44131424_b3lyp_prop_0,0.01373948678843484,1.15441085920207,1.1406714,False,False,2.0,2,True,150-200
11355645_b3lyp_0,0.0006593359310906877,1.87362397782013,1.8742833,True,True,2.0,2,True,150-200
14080455_b3lyp,0.05835545063018799,1.25,1.3083555,False,False,2.0,2,False,150-200
130412007_b3lyp_prop_0,0.025028861682113046,0.907643519718949,0.9326724,False,False,2.0,2,True,150-200
265508_b3lyp_3,0.04221286137339875,1.41501523812053,1.3728024,True,True,2.0,2,True,150-200
12587549_b3lyp_1,0.03061270623016843,1.3146184691925,1.3452312,True,False,2.0,2,True,200-250
388306_b3lyp_prop_4,0.16955688275097702,1.33087733067273,1.1613204,True,True,2.0,2,True,150-200
102182508_b3lyp_0,0.17603889657426142,1.14496847437453,1.3210074,True,False,2.0,2,True,150-200
78494_b3lyp,0.0561466073989868,0.89,0.9461466,False,False,1.0,1,False,<150
22489347_b3lyp_0,0.041268181964438044,1.09510343058439,1.1363716,True,False,2.0,2,True,150-200
20443080_b3lyp,0.05677494525909421,1.78,1.836775,True,False,1.0,1,False,150-200
12344381_b3lyp_prop_1,0.08414183873616565,1.02571414727651,0.9415723,True,True,3.0,3,True,>250
152386883_b3lyp_prop_1,0.04400161853862716,1.29671331294941,1.3407149,True,False,1.0,1,True,150-200
14080455_b3lyp_0,0.16269040316806338,1.3180879333569,1.4807783,True,False,2.0,2,True,150-200
12078641_b3lyp_1,0.15152655455953012,1.58225701663381,1.4307305,True,True,2.0,2,True,150-200
15269886_b3lyp_1,0.3298335822020664,2.3146268875991,1.9847933,True,False,1.0,1,True,150-200
15736817_b3lyp_prop_2,0.11883277769400391,1.22511989946677,1.1062871,False,True,2.0,2,True,200-250
152386883_b3lyp_prop_0,0.11942287340385027,1.50820096388084,1.3887781,True,False,1.0,1,True,150-200
56972288_b3lyp_prop_0,0.09999270537154525,1.36972172358291,1.269729,False,False,1.0,1,True,150-200
13839673_b3lyp,0.08183335781097423,1.12,1.0381666,True,True,2.0,2,False,<150
11122_b3lyp,0.12574209213256837,0.89,0.7642579,False,False,1.0,1,False,<150
212470_b3lyp_prop_3,0.12184947794699208,1.54177993470407,1.6636294,True,True,2.0,2,True,150-200
12527779_b3lyp_prop_0,0.1451484345950056,2.52250901694669,2.3773606,False,False,2.0,2,True,200-250
5766_b3lyp,0.15047680854797363,0.88,1.0304768,True,True,2.0,2,False,150-200
12913941_b3lyp_prop_4,0.07553990162695268,1.12851913250769,1.0529792,False,False,2.0,2,True,200-250
14642912_b3lyp_1,0.15766642922180774,1.61881564492005,1.4611492,True,False,1.0,1,True,150-200
12754795_b3lyp_prop_1,0.009879994461279074,1.50890846245553,1.5187885,True,False,1.0,1,True,150-200
4055_b3lyp_prop_1,0.07786460748398627,0.919793447167519,0.84192884,False,True,2.0,2,True,200-250
599944_b3lyp_prop_2,0.049355014683256315,0.864363654972563,0.81500864,False,False,2.0,2,True,200-250
11805258_b3lyp_prop_0,0.03522370168876088,1.19964995076943,1.2348737,False,True,2.0,2,True,200-250
24973987_b3lyp_0,0.07262922202476796,1.34240139399895,1.2697722,True,True,2.0,2,True,200-250
6699_b3lyp_prop_4,0.12152776056674952,1.13016542726902,1.0086377,False,True,5.0,4+,True,>250
24973987_b3lyp_prop_1,0.10739653531038851,1.03485720578158,0.9274607,False,True,2.0,2,True,200-250
13182761_b3lyp_prop_0,0.05013897963187364,0.659706086438683,0.70984507,True,True,3.0,3,True,>250
45082930_b3lyp,0.09384979724884035,0.98,1.0738498,False,False,1.0,1,False,150-200
6699_b3lyp_prop_2,0.04927424057110552,1.01829901798352,0.9690248,False,True,5.0,4+,True,>250
10419488_b3lyp,0.010598120689392143,0.94,0.9505981,False,True,2.0,2,False,150-200
11029986_b3lyp_prop_1,0.05039462594626998,1.14609775094627,1.0957031,False,False,1.0,1,True,150-200
8530_b3lyp_prop_2,0.04887824438737898,0.961739949213734,0.9128617,False,True,2.0,2,True,150-200
59350869_b3lyp,0.013195500373840319,0.86,0.8468045,False,False,2.0,2,False,150-200
152386883_b3lyp_prop_2,0.08923744887178953,1.48433649271792,1.395099,True,False,1.0,1,True,150-200
4055_b3lyp_2,0.03344857473913365,0.871629121107424,0.9050777,True,True,2.0,2,True,150-200
11228886_b3lyp_prop_0,0.05288092844567571,1.09775655024133,1.0448756,False,False,1.0,1,True,150-200
59350876_b3lyp,0.08732889652252196,0.86,0.7726711,False,False,2.0,2,False,150-200
130412007_b3lyp_prop_1,0.07244807511291307,1.04466694563904,1.117115,False,False,2.0,2,True,150-200
70407085_b3lyp,0.0859019327163697,1.58,1.4940981,True,False,1.0,1,False,<150
102182508_b3lyp_prop_3,0.022473920018889926,1.1539754754617,1.1315016,False,False,2.0,2,True,200-250
12527779_b3lyp_0,0.03971780805304759,2.71528877286628,2.675571,True,False,2.0,2,True,200-250
13182761_b3lyp,0.0707226753234863,0.65,0.7207227,True,True,3.0,3,False,200-250
10154120_b3lyp_1,0.09617149858112017,1.6832660439455,1.5870945,True,False,1.0,1,True,150-200
17981306_b3lyp_1,0.2420563801810216,2.02108300772161,1.7790266,True,False,1.0,1,True,150-200
10154120_b3lyp_prop_1,0.20052738173857065,1.38023896201506,1.1797116,False,False,1.0,1,True,150-200
68238_b3lyp,0.003274993896484335,0.67,0.673275,False,False,1.0,1,False,150-200
102182508_b3lyp_5,0.32366835369419555,1.71930765404057,1.3956393,True,False,2.0,2,True,150-200
13182761_b3lyp_prop_1,0.03946440479651636,0.665610978389824,0.7050754,True,True,3.0,3,True,>250
2818090_b3lyp_1,0.02435081547674489,1.39217119759497,1.3678204,True,False,1.0,1,True,150-200
102182508_b3lyp_prop_0,0.0012945800786960948,1.17887398300228,1.1775794,False,False,2.0,2,True,200-250
223813_b3lyp_3,0.04642887116870997,1.43526058195629,1.4816895,True,False,2.0,2,True,150-200
102160488_b3lyp_prop_0,0.1720173562655336,1.89916195522641,1.7271446,False,False,2.0,2,True,200-250
130412007_b3lyp_2,0.008581574415514437,1.07612342073982,1.084705,True,False,2.0,2,True,150-200
12506460_b3lyp_1,0.03202070610937269,0.950243097372683,0.9822638,True,True,3.0,3,True,>250
14642912_b3lyp,0.19763811111450202,1.08,0.8823619,False,False,1.0,1,False,150-200
78362_b3lyp_prop_0,0.11390532908573059,2.05775048194065,1.9438452,True,False,1.0,1,True,150-200
130029677_b3lyp_0,0.04606974810068065,1.8688211509556,1.8227514,True,False,1.0,1,True,150-200
134204124_b3lyp_0,0.06516533708863737,1.44425397730165,1.3790886,True,False,1.0,1,True,150-200
265508_b3lyp_prop_3,0.038528519621728874,1.06990559672439,1.0313771,True,True,2.0,2,True,200-250
12344381_b3lyp_5,0.19227615874142323,1.15793474633365,1.3502109,True,True,3.0,3,True,>250
11040862_b3lyp,0.1112123680114746,0.63,0.74121237,False,False,1.0,1,False,150-200
101355_b3lyp_prop_0,0.07767835451510874,1.34334019018558,1.2656618,False,False,1.0,1,True,150-200
57194585_b3lyp_prop_2,0.30450137720013437,1.20834401979541,1.5128454,False,False,1.0,1,True,150-200
20443080_b3lyp_0,0.2006160216956423,2.25817666476676,2.4587927,True,False,1.0,1,True,150-200
57194585_b3lyp,0.2653851270675659,0.65,0.9153851,False,False,1.0,1,False,150-200
297370_b3lyp,0.0033677053451538486,0.83,0.8333677,False,False,1.0,1,False,150-200
10419488_b3lyp_prop_1,0.1241448015522606,1.03174149090532,1.1558863,False,True,2.0,2,True,200-250
59350876_b3lyp_prop_1,0.03812096691448308,1.06474902057331,1.10287,False,False,2.0,2,True,150-200
265508_b3lyp_2,0.05501694551973668,1.4275189148572,1.372502,True,True,2.0,2,True,150-200
130029688_b3lyp_prop_0,0.23607360634264296,1.99502801212725,1.7589544,True,False,1.0,1,True,200-250
59350869_b3lyp_prop_0,0.08892188277883661,0.885738275378512,0.97466016,False,False,2.0,2,True,150-200
4055_b3lyp_3,0.0634598596323086,0.867656244493668,0.9311161,True,True,2.0,2,True,150-200
388306_b3lyp,0.06040457725524906,1.29,1.2295954,True,True,2.0,2,False,150-200
4055_b3lyp,0.016869001388549854,0.68,0.663131,False,True,2.0,2,False,150-200
141161619_b3lyp_1,0.011702639049615993,2.36216534953681,2.373868,True,False,2.0,2,True,150-200
11228886_b3lyp_3,0.14661266356945557,1.4772070840025,1.3305944,True,False,1.0,1,True,150-200
11040862_b3lyp_2,0.08990006718363985,1.68044965538707,1.5905496,True,False,1.0,1,True,150-200
24973987_b3lyp_1,0.09838211079234194,1.30256378193492,1.2041817,True,True,2.0,2,True,200-250
22489347_b3lyp_2,0.027265324982431283,1.4734246877754,1.4461594,True,False,2.0,2,True,150-200
12587549_b3lyp_3,0.13032250384238342,1.51779301186654,1.6481155,True,False,2.0,2,True,200-250
