feature,corr_proxy,proxy_rank
LUMO,0.7868445070508783,1
meanI,0.7464156309384783,2
minwHBa,0.7389923604621464,3
MAXDN2,0.71686041481635,4
MAXDN,0.6532591473975932,5
HOMO2,0.6419739067655956,6
HOMO3,0.620260815431773,7
nH,0.6112875698136234,8
Mse,0.6030329993505776,9
HOMO1,0.5998954259287761,10
SaasC,0.590867531335666,11
LipoaffinityIndex,0.573093831254753,12
nHBAcc,0.5726412087685637,13
nHBAcc2,0.5591968762433939,14
MLFER_BH,0.5524436200923352,15
ETA_Epsilon_2,0.5431505567749881,16
bpol,0.539962939189236,17
maxaasC,0.5292887810091488,18
HOMO4,0.5215020688800238,19
AMW,0.5140561306060826,20
minaasC,0.5137867019673658,21
TopoPSA,0.5082051027149601,22
LUMO1,0.4953775174870378,23
HOMO9,0.4929745564107293,24
minHdsCH,0.49082659579902654,25
SwHBa,0.48757673830056725,26
HOMO,0.48624626211494154,27
ndssC,0.48309132761934026,28
nFRing,0.481108235332696,29
HOMO5,0.48073454208021976,30
apol,0.46903733628834665,31
nN,0.46350366001523596,32
ETA_AlphaP,0.46044626141007755,33
mindO,0.4568017791358372,34
naAromAtom,0.45503401719834674,35
HOMO8,0.4530037232267889,36
nBondsD2,0.4522189012229665,37
hmin,0.45200209110358064,38
nRing,0.4390129573677735,39
hmax,0.43779284822811115,40
SdssC,0.43405990095617386,41
ETA_EtaP,0.42834147031763337,42
nHother,0.42539882727208284,43
HOMO7,0.4148288781742029,44
Mv,0.4144502083474143,45
nBondsS2,0.41153263627038145,46
MDEC-22,0.41075774481116556,47
ntN,0.4085947376499872,48
MDEC-23,0.40680497721996445,49
LUMO9,0.40607577179732707,50
ETA_Epsilon_3,0.4050184588707679,51
C3SP2,0.400473529664043,52
fragC,0.4002606143866269,53
gmin,0.390009750255817,54
HOMO6,0.3876156708216428,55
C1SP1,0.3806541429173466,56
BCUTp-1l,0.3806250458871922,57
dipole_moment,0.37516669784719164,58
nBondsD,0.3749205658571281,59
VC-3,0.37389984998574577,60
mintN,0.369335233707452,61
JGI2,0.36868944326599856,62
JGI3,0.3629267417000079,63
LUMO4,0.35224891609306674,64
MDEC-12,0.35089927084016015,65
nwHBa,0.34899072059975345,66
BCUTc-1h,0.3448765978530514,67
C2SP2,0.344243548530296,68
LUMO5,0.33327780178362465,69
SC-3,0.3323223797067677,70
MDEC-33,0.32546823376205036,71
BCUTc-1l,0.31783584161166295,72
minHother,0.31506985820478794,73
ETA_Shape_P,0.30535114477679365,74
ETA_EtaP_L,0.2886653981563192,75
minsCH3,0.2834979075719749,76
JGI1,0.2820800130492912,77
JGT,0.2793012627109299,78
MLFER_E,0.27022437155430434,79
topoDiameter,0.2692386605386828,80
C1SP3,0.2632333756896166,81
MDEC-13,0.2629298213915454,82
nsCH3,0.26214275874337034,83
VC-5,0.2610434681858536,84
VCH-7,0.256592334714639,85
maxHother,0.2520836868140967,86
DELS,0.24228658083761884,87
ETA_EtaP_B,0.23920560712796132,88
mindsCH,0.23332336924943886,89
BCUTp-1h,0.2307756732721116,90
topoRadius,0.2280206753032621,91
SC-5,0.2253168629028279,92
Mp,0.21986178264328748,93
nHdsCH,0.20838339124937857,94
nAtomP,0.20796487554402712,95
GGI2,0.20504491458612548,96
MLFER_S,0.19693520787315164,97
SdO,0.19611354619548066,98
ETA_BetaP,0.19388922937049904,99
ETA_dEpsilon_B,0.18897356263470932,100
JGI7,0.17801727920028335,101
LUMO2,0.1763287213730617,102
SCH-7,0.17524913471683642,103
SHBa,0.17524744124668612,104
nRotBt,0.17368233345466735,105
ntsC,0.1676573867293743,106
GGI3,0.16762244127665138,107
VCH-6,0.15745466519793386,108
nAtomLAC,0.15203821258309563,109
ETA_BetaP_s,0.14847673179035553,110
Mi,0.14724325352226852,111
maxwHBa,0.1471369209301231,112
GGI1,0.1348525090276993,113
SCH-6,0.13136330518306188,114
topoShape,0.12783324006948035,115
C2SP1,0.12452190776804795,116
HybRatio,0.1081643405544664,117
minHBa,0.10747035662855454,118
nHCsatu,0.08895627394218708,119
RotBtFrac,0.08729100972893625,120
Kier3,0.07940020136440736,121
LUMO3,0.07590279221603981,122
maxdssC,0.07129503780482134,123
mintsC,0.07047956126315047,124
nBondsS3,0.06976083421558874,125
FMF,0.06763424636391338,126
ETA_EtaP_F,0.058976794997163774,127
P_gamma,0.044972077084572876,128
ETA_dBeta,0.04367077854440137,129
BCUTw-1l,0.04257353111625371,130
ETA_Eta_B,0.03888894665448544,131
minHCsatu,0.032710474092435944,132
JGI5,0.027283187931573336,133
ETA_EtaP_B_RC,0.025194996549787487,134
JGI4,0.014741865339338071,135
maxHCsatu,0.014707274408817098,136
BCUTw-1h,0.012614504904444733,137
sumI,0.012162623791518355,138
JGI6,0.005911559903873131,139
nAtomLC,0.004325068842934777,140
ETA_Shape_Y,0.002094609924598395,141
